pillar,sort_order,slug,display_name,unit,wired_status,tier_index,threshold,current_title,current_body,copy_status,proposed_title,proposed_body,approved_y_n
focus,607,first_focus_complete,"Focus Beginnings",,wired,2,5,"Five Focus Cards Logged","Five focus cards in the record. A practice taking shape.",placeholder,,,
focus,607,first_focus_complete,"Focus Beginnings",,wired,3,25,"Twenty-Five Focus Cards","Twenty-five focus cards completed. A real daily-practice foundation laid.",placeholder,,,
habits,0,habits_logged,"Daily Habits",count,wired,1,1,"First Habit Logged","Daily habits compound quietly. One log today, three by week's end.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,2,3,"Three Habits In","Three logs banked. The repetition is doing the work. Five sits next.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,3,5,"Five Habits Banked","Five logged. The loop is forming. Ten arrives faster than the first five.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,4,10,"Ten Habits Logged","Ten logs in. Identity follows action — keep stacking. Twenty-five next.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,5,25,"Twenty-Five Strong","Twenty-five logged. The behaviour has earned a place in your routine. Fifty next.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,6,50,"Fifty Habit Days","Fifty logs banked. The default is shifting in your favour. One hundred next.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,7,100,"One Hundred Habits","A hundred logs. This is now part of who you are. Two-fifty awaits.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,8,250,"Two Hundred and Fifty Habits","Two-fifty logged. Most people quit before this point. Five hundred next.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,9,500,"Five Hundred Logged","Five hundred logs banked. Real consistency that compounds. One thousand sits ahead.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,10,1000,"One Thousand Habits","One thousand logs. Small actions, repeated, become a life. Twenty-five hundred next.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,11,2500,"Twenty-Five Hundred Habits","Twenty-five hundred logs. The behaviour is the identity now. Five thousand on the horizon.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,12,5000,"Five Thousand Habits","Five thousand logs. Rare territory. The compounding speaks for itself.",approved,,,
habits,0,habits_logged,"Daily Habits",count,wired,13,10000,"Ten Thousand Habits","Ten thousand logs. A decade of compounded daily action. The evidence is yours.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,1,3,"Three Day Habit Streak","Three consecutive days of habits logged. The compounding starts here. Keep rolling to seven.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,2,7,"First Habit Week","Seven days of habits without a miss. Routine is taking shape. Fourteen next.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,3,14,"Fortnight Habit Streak","Two weeks of consecutive habits. The discipline is real. Thirty next.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,4,30,"Thirty Day Habit Run","A full month of habits unbroken. The small actions are now automatic. Sixty next.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,5,60,"Sixty Day Habit Streak","Two months of consecutive habits. The cumulative effect is now visible. One hundred next.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,6,100,"Hundred Day Habit Streak","A hundred consecutive days of habits. Rare consistency at this depth. Two hundred next.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,7,200,"Two Hundred Day Habit Streak","Two hundred straight days of habits. This is the long game. One year sits at three sixty-five.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,8,365,"One Year of Habits","A full year of habits without a miss. Identity-level commitment. Five hundred next.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,9,500,"Five Hundred Day Habit Streak","Five hundred consecutive days of habits. The work is the reward. Two years sits at seven thirty.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,10,730,"Two Year Habit Streak","Two full years of habits unbroken. Most never reach this depth. One thousand next.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,11,1000,"One Thousand Habit Days","Four figures of consecutive habit days. A category of one.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,12,1500,"Fifteen Hundred Habit Days","The discipline has long since become invisible. The routine is who you are.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,13,1825,"Five Years of Habits","Half a decade of consecutive daily habits. Exceptional even by the standards of the most disciplined.",approved,,,
habits,22,streak_habits,"Habit Streak",days,wired,14,3650,"Ten Years of Habits","A full decade of unbroken daily habits. The standard everyone else aspires to.",approved,,,
habits,200,distinct_habit_types,"Distinct Habit Types",,NOT WIRED,1,3,"Three Habit Types","Tried three distinct habit types. Variety prevents habit fatigue and exposes you to what actually sticks.",placeholder,,,
habits,200,distinct_habit_types,"Distinct Habit Types",,NOT WIRED,2,5,"Five Habit Types","Five distinct habit types in your record. The breadth here is what makes the practice resilient.",placeholder,,,
habits,200,distinct_habit_types,"Distinct Habit Types",,NOT WIRED,3,10,"Ten Habit Types","Ten distinct habit types tried. Wide-ranging exploration of what helps and what doesn't.",placeholder,,,
habits,201,same_habit_repeats,"Habit Devotion",,NOT WIRED,1,10,"Ten Times Same Habit","Repeated the same habit ten times. Depth of practice beats breadth when one thing genuinely works.",placeholder,,,
habits,201,same_habit_repeats,"Habit Devotion",,NOT WIRED,2,50,"Fifty Times Same Habit","Fifty repetitions of a single habit. This is no longer a habit — it is part of who you are.",placeholder,,,
habits,201,same_habit_repeats,"Habit Devotion",,NOT WIRED,3,200,"Two Hundred Repetitions","Two hundred repetitions of a single habit. Identity-level commitment, not behaviour change.",placeholder,,,
habits,202,three_habits_day,"Three Habits in a Day",,NOT WIRED,1,1,"Three Habits in a Day","Three habits ticked in a single day. The small wins compound when stacked together.",placeholder,,,
habits,203,five_habits_day,"Five Habits in a Day",,NOT WIRED,1,1,"Five Habits in a Day","Five habits in one day. A full-spectrum day — physical, mental and social practice all touched.",placeholder,,,
habits,204,all_assigned_habits_day,"Full Habit Days",,NOT WIRED,1,1,"Full Habit Day","Every habit assigned to you, ticked off in a single day. Perfect execution, even briefly.",placeholder,,,
habits,204,all_assigned_habits_day,"Full Habit Days",,NOT WIRED,2,3,"Three Full Habit Days","Three days of complete habit execution. The pattern of consistent follow-through emerging.",placeholder,,,
habits,204,all_assigned_habits_day,"Full Habit Days",,NOT WIRED,3,7,"Seven Full Habit Days","Seven full habit days banked. A week of complete daily practice — the foundation of real change.",placeholder,,,
habits,204,all_assigned_habits_day,"Full Habit Days",,NOT WIRED,4,14,"Fourteen Full Habit Days","Fourteen full habit days. Two weeks of total daily execution. This is what habit mastery looks like.",placeholder,,,
habits,204,all_assigned_habits_day,"Full Habit Days",,NOT WIRED,5,30,"Thirty Full Habit Days","Thirty full habit days. A month of complete daily practice. Rare territory and genuinely transformative.",placeholder,,,
habits,205,seven_day_including_weekend,"Weekend-Inclusive Weeks",,NOT WIRED,1,1,"Weekend-Inclusive Week","Seven consecutive days including a weekend. Weekend warriors break — you didn't.",placeholder,,,
habits,205,seven_day_including_weekend,"Weekend-Inclusive Weeks",,NOT WIRED,2,3,"Three Weekend-Inclusive Weeks","Three full weeks unbroken by the weekend dip. Consistency that survives social pressure.",placeholder,,,
habits,205,seven_day_including_weekend,"Weekend-Inclusive Weeks",,NOT WIRED,3,6,"Six Weekend-Inclusive Weeks","Six weeks of full habit execution including weekends. A genuine pattern, not a phase.",placeholder,,,
habits,205,seven_day_including_weekend,"Weekend-Inclusive Weeks",,NOT WIRED,4,12,"Twelve Weekend-Inclusive Weeks","Twelve unbroken weekend-inclusive weeks. Three months of habits that don't bend to the calendar.",placeholder,,,
habits,206,habits_before_9am,"Morning Habits",,NOT WIRED,1,5,"Five Morning Habits","Five habits logged before nine in the morning. Front-loading the day is a small lever with large effect.",placeholder,,,
habits,206,habits_before_9am,"Morning Habits",,NOT WIRED,2,10,"Ten Morning Habits","Ten morning habits banked. The day starts on your terms, not the inbox's.",placeholder,,,
habits,206,habits_before_9am,"Morning Habits",,NOT WIRED,3,25,"Twenty-Five Morning Habits","Twenty-five morning habits. Sustained early action — the most reliable predictor of follow-through.",placeholder,,,
habits,207,first_habit,"First Habit Logged",,NOT WIRED,1,1,"Your First Habit Tick","Your first habit is in the system. The smallest deliberate action, taken intentionally.",placeholder,,,
habits,208,weekly_habits_total,"Weekly Habit Total",,NOT WIRED,1,7,"Seven Habits Weekly","Seven habits logged in a single week. A consistent daily-ish practice.",placeholder,,,
habits,208,weekly_habits_total,"Weekly Habit Total",,NOT WIRED,2,14,"Fourteen Habits Weekly","Fourteen habits in one week. Two-a-day average — full-spectrum habit engagement.",placeholder,,,
habits,208,weekly_habits_total,"Weekly Habit Total",,NOT WIRED,3,21,"Twenty-One Habits Weekly","Twenty-one habits in a single week. Three a day, every day. Genuine depth of practice.",placeholder,,,
habits,208,weekly_habits_total,"Weekly Habit Total",,NOT WIRED,4,28,"Twenty-Eight Habits Weekly","Twenty-eight habits in a week. Four-a-day across a full seven. Rarely sustained but powerful.",placeholder,,,
body,1,workouts_logged,"Workouts Completed",count,wired,1,1,"First Workout Logged","Showing up is the hardest tier. Three workouts is the next mark.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,2,3,"Three Workouts In","Three sessions logged. Capacity is built one workout at a time. Five next.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,3,5,"Five Workouts Banked","Five logged. Your body is starting to expect the work. Ten next.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,4,10,"Ten Workouts Logged","Ten sessions in. The pattern is forming — recovery, effort, repeat. Twenty-five next.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,5,25,"Twenty-Five Sessions","Twenty-five workouts banked. This is where strength gains begin to stack. Fifty next.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,6,50,"Fifty Workouts Strong","Fifty in the bank. The investment is starting to show. One hundred next.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,7,100,"One Hundred Workouts","A century of training. The body adapts to whatever you ask of it. Two-fifty next.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,8,250,"Two Hundred and Fifty Sessions","Two-fifty workouts banked. Training is no longer optional. Five hundred next.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,9,500,"Five Hundred Workouts","Five hundred sessions. This is what serious training looks like. One thousand on the path.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,10,1000,"One Thousand Workouts","A thousand sessions logged. Decades of capacity, banked. Twenty-five hundred sits ahead.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,11,2500,"Twenty-Five Hundred Workouts","Twenty-five hundred workouts. Few ever reach here. Five thousand on the horizon.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,12,5000,"Five Thousand Workouts","Five thousand sessions. The training is the life you're living now.",approved,,,
body,1,workouts_logged,"Workouts Completed",count,wired,13,10000,"Ten Thousand Workouts","Ten thousand sessions. Twenty-plus years of training. A career, banked.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,1,1,"First Cardio Logged","Heart, lungs, repeat. The cheapest health investment you'll ever make. Three next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,2,3,"Three Cardio Sessions","Three logged. Aerobic capacity builds with every effort. Five next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,3,5,"Five Cardio Banked","Five sessions in. The aerobic base is forming. Ten next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,4,10,"Ten Cardio Sessions","Ten logged. Your resting heart rate is taking notice. Twenty-five next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,5,25,"Twenty-Five Cardio","Twenty-five sessions banked. A real aerobic foundation, taking shape. Fifty next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,6,50,"Fifty Cardio Logged","Fifty sessions. The engine is upgrading — capacity, recovery, resting heart rate. One hundred next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,7,100,"One Hundred Cardio","A century of cardio. Cardiovascular health, evidenced and earned. Two-fifty next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,8,250,"Two Hundred and Fifty Cardio","Two-fifty sessions banked. The habit of effort, locked in. Five hundred next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,9,500,"Five Hundred Cardio","Five hundred sessions. Years of breath and miles. One thousand sits ahead.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,10,1000,"One Thousand Cardio","A thousand sessions. The aerobic system you've built is rare. Twenty-five hundred next.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,11,2500,"Twenty-Five Hundred Cardio","Twenty-five hundred sessions. This is endurance at the level of a discipline.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,12,5000,"Five Thousand Cardio","Five thousand sessions logged. A lifetime of heart-led work, banked.",approved,,,
body,2,cardio_logged,"Cardio Sessions",count,wired,13,10000,"Ten Thousand Cardio","Ten thousand sessions. Decades of endurance, banked. The heart you have is built.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,1,100,"First Hundred Kilograms","The work begins. One hundred kilograms moved across sets and reps. One tonne next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,2,1000,"First Tonne Lifted","One thousand kilograms — one full tonne moved. Real training has begun. Five tonnes next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,3,5000,"Five Tonnes Lifted","Five tonnes of cumulative volume. The training is compounding. Ten tonnes next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,4,10000,"Ten Tonnes Lifted","Ten tonnes moved in total. A roomful of weight, banked. Twenty-five tonnes next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,5,25000,"Twenty-Five Tonnes Lifted","Twenty-five tonnes of training volume. Real, measurable strength work. One hundred tonnes next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,6,100000,"One Hundred Tonnes Lifted","A hundred tonnes — equal to about ten lorries' worth of weight, moved by you. Half a megaton next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,7,500000,"Half a Megaton Lifted","Five hundred tonnes — half a megaton of training volume, banked. One megaton next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,8,1000000,"One Megaton Lifted","A million kilograms moved. One full megaton — extraordinary, sustained lifting. Ten megatons next.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,9,10000000,"Ten Megatons Lifted","Ten megatons — a decade-plus of dedicated lifting. Almost no member reaches here. Fifty megatons sits ahead.",approved,,,
body,12,volume_lifted_total,"Total Weight Lifted",kg,wired,10,50000000,"Fifty Megatons Lifted","Fifty megatons of training volume. A lifetime of lifting, evidenced. The work itself is the achievement.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,1,10,"First Ten Minutes Trained","The first ten minutes are the hardest. You're past them. Thirty minutes next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,2,30,"Thirty Minutes Trained","A proper session. Thirty minutes is where training begins. One hour next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,3,60,"One Hour Trained","One hour under the bar. The body has felt it now. Three hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,4,180,"Three Hours Trained","Three hours of training, banked. The work compounds quietly. Six hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,5,360,"Six Hours Trained","Six hours of cumulative training. The work is compounding visibly. Ten hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,6,600,"Ten Hours Trained","Ten hours under the bar. Real, measurable capacity built. Twenty-five hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,7,1500,"Twenty-Five Hours Trained","Twenty-five hours trained — a full day's worth on the clock. Fifty hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,8,3000,"Fifty Hours Trained","Fifty hours of training. Two full days under the bar. One hundred hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,9,6000,"One Hundred Hours Trained","A century of training hours. The body has been remade. Two-fifty hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,10,15000,"Two Hundred and Fifty Hours","Two hundred and fifty training hours. Rare commitment, evidenced. Five hundred hours next.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,11,30000,"Five Hundred Hours Trained","Five hundred hours of training. A serious, sustained athletic investment.",approved,,,
body,13,workout_minutes_total,"Workout Minutes",minutes,wired,12,60000,"One Thousand Hours Trained","One thousand hours under the bar. This is what mastery costs.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,1,10,"Ten Minutes of Cardio","Ten minutes of effort. The engine is on. Thirty minutes next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,2,30,"Thirty Minutes Cardio","A proper cardio session. The aerobic system likes you. One hour next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,3,60,"One Hour Cardio","One hour of cardio. Resting heart rate gets the message. Three hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,4,180,"Three Hours Cardio","Three hours of aerobic work. The engine is sharper. Six hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,5,360,"Six Hours Cardio","Six hours of cardio invested. Capacity is climbing. Ten hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,6,600,"Ten Hours Cardio","Ten hours of effort, banked. The aerobic base is real. Twenty-five hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,7,1500,"Twenty-Five Hours Cardio","Twenty-five cardio hours. Resting heart rate has dropped, even quietly. Fifty hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,8,3000,"Fifty Hours Cardio","Fifty hours under load. The engine is genuinely upgraded. One hundred hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,9,6000,"One Hundred Hours Cardio","A century of cardio hours. Few people invest like this. Two-fifty hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,10,15000,"Two Hundred and Fifty Cardio Hours","Two hundred and fifty hours of cardio. A serious aerobic athlete's number. Five hundred hours next.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,11,30000,"Five Hundred Hours Cardio","Five hundred cardio hours. The cardiovascular system you've built is rare.",approved,,,
body,14,cardio_minutes_total,"Cardio Minutes",minutes,wired,12,60000,"One Thousand Hours Cardio","One thousand hours of cardio. Decades of aerobic capacity, stacked.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,1,3,"Three Day Workout Streak","Three days back to back of training. Consistency is the multiplier. Four more makes a full week.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,2,7,"First Workout Week","Seven consecutive training days. The week is in the bag. Fourteen next.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,3,14,"Fortnight Workout Streak","Fourteen consecutive training days. Recovery permitting, this is impressive cadence. Thirty next.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,4,30,"Thirty Day Workout Run","A full month of training without a miss. The work is showing. Sixty next.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,5,60,"Sixty Day Workout Streak","Two months of consecutive training days. Adaptation is happening at depth. One hundred next.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,6,100,"Hundred Day Workout Streak","A hundred straight days of training. Performance gains compound from here. Two hundred next.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,7,200,"Two Hundred Day Workout Streak","Two hundred consecutive training days. Discipline at a level few maintain. A year sits at three sixty-five.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,8,365,"One Year Training Streak","A full year of training without a missed day. Athlete-level cadence. Five hundred next.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,9,500,"Five Hundred Day Workout Streak","Five hundred consecutive training days. The work has become who you are. Two years sits at seven thirty.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,10,730,"Two Year Workout Streak","Seven hundred and thirty consecutive training days. Two years of pure work. One thousand next.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,11,1000,"One Thousand Training Days","Four figures of unbroken training. Almost no-one trains this consistently.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,12,1500,"Fifteen Hundred Training Days","The training is the life. Rarefied dedication few will ever match.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,13,1825,"Five Years Training","Half a decade of consecutive training days without a miss. Genuinely exceptional.",approved,,,
body,23,streak_workouts,"Workout Streak",days,wired,14,3650,"Ten Years Training","A full decade of training without a missed day. Legendary cadence.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,1,3,"Three Day Cardio Streak","Three consecutive cardio days. Aerobic base is starting to build. Four more puts you at a week.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,2,7,"First Cardio Week","Seven days of cardio in a row. Engine is warming up. Push to fourteen.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,3,14,"Fortnight Cardio Streak","Two weeks of consecutive cardio days. Aerobic capacity is rising. Thirty next.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,4,30,"Thirty Day Cardio Run","A full month of cardio without a miss. Heart and lungs are adapting. Sixty next.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,5,60,"Sixty Day Cardio Streak","Two months of back to back cardio days. Endurance is shifting up a level. One hundred next.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,6,100,"Hundred Day Cardio Streak","A hundred consecutive cardio days. Aerobic base is properly built. Two hundred next.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,7,200,"Two Hundred Day Cardio Streak","Two hundred cardio days unbroken. Few sustain this. A full year sits at three sixty-five.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,8,365,"One Year Cardio Streak","A full year of cardio every day. Heart-health territory most never reach. Five hundred next.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,9,500,"Five Hundred Day Cardio Streak","Five hundred consecutive cardio days. The engine is now the identity. Two years sits at seven thirty.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,10,730,"Two Year Cardio Streak","Two full years of cardio every day. Cardiovascular baseline of an athlete. One thousand next.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,11,1000,"One Thousand Cardio Days","A four-figure cardio run. Truly rare territory among any cohort.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,12,1500,"Fifteen Hundred Cardio Days","The cadence is the lifestyle. Few will ever see this number.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,13,1825,"Five Years of Cardio","Half a decade of consecutive cardio days. Exceptional cardiovascular consistency.",approved,,,
body,24,streak_cardio,"Cardio Streak",days,wired,14,3650,"Ten Years of Cardio","A full decade of cardio every single day. Historic cardiovascular dedication.",approved,,,
body,100,movement_sessions_logged,"Movement Sessions",,NOT WIRED,1,10,"Movement Beginning","Ten movement sessions logged. Gentle, restorative work that complements every other thread of training.",placeholder,,,
body,100,movement_sessions_logged,"Movement Sessions",,NOT WIRED,2,30,"Steady Movement Practice","Thirty movement sessions. The kind of consistency that quietly compounds into better daily function.",placeholder,,,
body,100,movement_sessions_logged,"Movement Sessions",,NOT WIRED,3,60,"Movement Habit Formed","Sixty movement sessions. Mobility, balance and restorative work have become a real fixture in your week.",placeholder,,,
body,100,movement_sessions_logged,"Movement Sessions",,NOT WIRED,4,100,"Hundred Movement Marker","One hundred movement sessions. Few members log this many gentle sessions — it adds up to genuine resilience.",placeholder,,,
body,100,movement_sessions_logged,"Movement Sessions",,NOT WIRED,5,250,"Movement Master","Two hundred and fifty movement sessions. A deep practice that supports everything else you train for.",placeholder,,,
body,101,reps_lifted_total,"Total Reps Lifted",,NOT WIRED,1,1000,"Thousand Reps Lifted","One thousand lifetime reps lifted. The first real volume marker — every rep counted toward this.",placeholder,,,
